English,Reference_Bhojpuri,Predicted_Bhojpuri
"Hello, how are you?","हैलो, रउआ कइसन बानी?","हैलो, तू कइसे हव?"
"Where are you going today?","आजु कहवाँ जा रहल बानी?","तू आज कहवाँ जात हउअ?"
"Since childhood, she has never asked me anything till now.","बचपनअ से, ऊ कबों हमसे आज ले कुछ ना मंगलअ।","बचपन से अबले तक ऊ हमरो कुछ नाई पुछली।"
"The foreman says you have to work tonight!","परबंधक क कहल हव की आपको काम करय के हव।","नौकमेन कहत हव कि तोहके आज रात काम करे के हव।"
"May I sit on my bench?","बेंच पे हम बइठ सकी ल।","का हम आपन बेंच पर बइठ सकत हईं?"
"Indeed he deserved to live.","वास्तव में उ जीए क हकदार हऽ।","वास्तव में ऊ जीए के हकदार रहँडला।"
"What do you mean, he just wasn't here?","का मतलब हव, ऊ उहवाँ ना रहल?","तोहार का मतलब हव, उ बस इहां ना हव?"
"I want to learn Bhojpuri language.","हमके भोजपुरी भाषा सीखे के बा।","हम भोजपुरी भाषा सीखे चाहत हईं।"
"We built this translator during the hackathon.","हमनी ई अनुवादक हैकाथॉन में बनवनी।","हमनी ई अनुवादक हैकाथॉन के दौरान बनवनी।"
"Good morning, my friend!","सुप्रभात, हमार दोस्त!","सुप्रभात, हमार दोस्त!"
