en,bho
When will you drink it? The foreman says you have to work tonight!,परबंधक क कहल हव की आपको काम करय के हव।
"Since childhood, she has never asked me anything till now.","बचपनअ से, ऊ कबों हमसे आज ले कुछ ना मंगलअ।"
"may, I sit on my bench?",बेंच पे हम बइठ सकी ल।
Indeed he deserved to live.,वास्तव में उ जीए क हकदार हऽ।
"What do you mean, ""He just wasn't here""?","का मतलब हव, ऊ उहवाँ ना रहल?"
Have you ever tried climbing a coconut palm ?,का तु नरियल पर चढले पे हथवा थक जाला ?
I am much relieved to hear it.,हम इ सुनि के राहत महसूस करत हईं।
I must be watching a movie.,हम फिल्म देखत हईं।
You yourself can best explain.,तु खुद बढिया से समझा सकल ।
Ravi bought a pen yesterday.,रवि कलिहा एगो कल खरीदले रहऽल
Ram made Anil happy.,राम अनिल के खुश कई देहलस।
The way he lies for me.,जे तरे से ऊ हमरे खातिर झूठ बोलत हव।
Can I help you?,का हम तोहार सहायता कर सकेली?
Are you receiving me?,का तू हमके सुनत हवा?
It seems too good to be true nevertheless it is a fact.,सच भइल नीक बा।
"No need of a week my lord, say yes and one day is enough.","एक हप्ता क कवनो जरूरत ना हव, साहेब, आप हाँ करीं, एकअ दिन काफी हव।"
I love you better than he.,हम तोहके ओसे ज्यादा प्यार करऽब।
Get off my back,हमरे पीछे से हट जा।
Get up.,उठा।
How old are you?,तु कय साल क हवा?
I cannot express how sorry I am.,हम नाई बता सकींऽल कि हम केतना शर्मिंदा हईं।
When will you go to office tomorrow ?,तु बिहान कर्यालय कब जइब ?
"Just because I don't complain, people think I'm satisfied.",खाली येही से हम सिकायत नाई करत हइ की लोगान के लगला की हम संतुस्ट हइ।
Did you take a bath yesterday?,का तु कलिहां नहिले रहल ?
"But I sure do love that winning horse of mine, though.",लेकिन एकीनन हम अपने ओ जीतअवाले थोड़ा के पिआर करत हईं।
You're that smart banker that killed his wife.,"तुहहीं ऊ, तेज तर्राक बैंक करमी’ हव जवन अपने मेहरारू के मार डरलअ, ना।"
Rud!,रूड!
What message did the ghost convey to the assembled group?,भूतवा सगरौ जनि क काव सनेशा देहलस।
"Look, I know I quit the academy before.",हम-हम पहिले अकादमी छोड़य क पता हव देखा।
I don't wanna fight you.,हम तुहसे लड़य ना चाहत
You must plant your seeds in another field.,तुहँ आपन बीज एक दूसरे खेत लगावे के चाही.
Will you cook a special dish today?,का तु आजू खास खाना बनी ?
I've few jobs to complete.,हमके कुछ काम पूरा करेके हव।
Grady?,गरेडी?
Kalidas is famous.,कालिदास प्रसिद्ध हउवन ।
Oh... I'm glad you like it.,हमके खुसी हव कि आप जइसन ।
There was so much traffic that we were an hour late.,उहाँ इतना अधिक ट्रैफिक जाम बा की हमनी के एक घंटा देर हो गईली।
I need some salty biscuits.,हमके नमकीन बिस्कुट चाही।
"Pull the cord, Brian!",कार्ड बरायन खीचा!
I'll introduce you to Rahul.,हम तोहके राहुल से मिलवाइऽब।
Out here?,इहवाँ बहरे?
"l've forgotten I know when lt's in two months, isn't it?","हम भुला गयल हईं । हमके पता हव कब। दू महिन्ना में हव, हव ना?"
Will you help me lift the box?,का तु बक्सा उठवले मे हमार् मदद करब ?
Are you asleep?,का तु सुतल हउअ ?
Smell my ass!,हमार गांण सूंघा!
